Area,BHK,Furnishing,Parking,Price,Status,Transaction,Type
4300.0,4,Unfurnished,2.0,60000000,Ready_to_move,Resale,Builder_Floor
504.0,3,Semi-Furnished,,3600000,Ready_to_move,Resale,Apartment
1000.0,3,Furnished,2.0,12000000,Ready_to_move,Resale,Apartment
1295.0,3,Semi-Furnished,1.0,10000000,Ready_to_move,New_Property,Apartment
2650.0,4,Unfurnished,2.0,75000000,Ready_to_move,New_Property,Builder_Floor
24300.0,4,Semi-Furnished,2.0,51000000,Ready_to_move,Resale,Builder_Floor
1500.0,3,Unfurnished,1.0,17400000,Ready_to_move,Resale,Apartment
1350.0,3,Unfurnished,1.0,5130000,Ready_to_move,New_Property,Apartment
1300.0,3,Semi-Furnished,2.0,17000000,Ready_to_move,Resale,Apartment
1300.0,3,Semi-Furnished,2.0,21000000,Ready_to_move,Resale,Builder_Floor
4500.0,4,Semi-Furnished,2.0,72500000,Ready_to_move,Resale,Builder_Floor
1400.0,2,Semi-Furnished,2.0,14000000,Ready_to_move,Resale,Apartment
4150.0,4,Unfurnished,3.0,82500000,Ready_to_move,New_Property,Builder_Floor
1600.0,3,Semi-Furnished,1.0,24000000,Ready_to_move,New_Property,Builder_Floor
1800.0,4,Unfurnished,2.0,23100000,Ready_to_move,Resale,Builder_Floor
1800.0,4,Semi-Furnished,2.0,87500000,Ready_to_move,New_Property,Builder_Floor
1700.0,3,Unfurnished,2.0,45000000,Ready_to_move,New_Property,Builder_Floor
550.0,2,Semi-Furnished,2.0,10700000,Ready_to_move,Resale,Builder_Floor
1100.0,3,Semi-Furnished,1.0,6200000,Ready_to_move,New_Property,Builder_Floor
500.0,1,Semi-Furnished,1.0,2600000,Ready_to_move,Resale,Builder_Floor
430.556,1,Unfurnished,1.0,4300000,Ready_to_move,Resale,Apartment
1750.0,3,Furnished,1.0,17200000,Ready_to_move,Resale,Apartment
1700.0,4,Unfurnished,2.0,11500000,Ready_to_move,New_Property,Builder_Floor
855.0,3,Unfurnished,1.0,4800000,Ready_to_move,Resale,Apartment
1150.0,3,Semi-Furnished,1.0,6800000,Ready_to_move,New_Property,Builder_Floor
1500.0,3,Semi-Furnished,3.0,35500000,Ready_to_move,Resale,Apartment
540.0,2,Furnished,1.0,2700000,Ready_to_move,New_Property,Apartment
2250.0,4,Semi-Furnished,2.0,57500000,Ready_to_move,New_Property,Builder_Floor
807.2925,2,Unfurnished,1.0,8600000,Ready_to_move,Resale,Apartment
1100.0,2,Semi-Furnished,114.0,10000000,Ready_to_move,Resale,Apartment
14220.0,3,Semi-Furnished,1.0,27500000,Ready_to_move,New_Property,Builder_Floor
1000.0,2,Semi-Furnished,1.0,18000000,Ready_to_move,Resale,Builder_Floor
1350.0,3,Semi-Furnished,1.0,17500000,Ready_to_move,Resale,Builder_Floor
2700.0,4,Semi-Furnished,2.0,52500000,Ready_to_move,New_Property,Builder_Floor
1100.0,3,Unfurnished,1.0,22500000,Ready_to_move,New_Property,Builder_Floor
1620.0,3,Semi-Furnished,,26000000,Ready_to_move,New_Property,Builder_Floor
1000.0,3,Semi-Furnished,1.0,5500000,Ready_to_move,New_Property,Apartment
1600.0,4,Semi-Furnished,1.0,15500000,Ready_to_move,Resale,Apartment
1500.0,3,Furnished,2.0,15000000,Ready_to_move,Resale,Apartment
976.0,2,Furnished,1.0,24900000,Ready_to_move,New_Property,Apartment
535.0,2,Furnished,1.0,3900000,Ready_to_move,New_Property,Apartment
3901.0,4,Unfurnished,1.0,93000000,Almost_ready,New_Property,Apartment
747.0,2,Furnished,1.0,6500000,Ready_to_move,Resale,Builder_Floor
990.0,2,Semi-Furnished,2.0,4100000,Ready_to_move,Resale,Builder_Floor
1200.0,10,Semi-Furnished,2.0,17000000,Ready_to_move,Resale,Apartment
1440.0,3,Unfurnished,1.0,19000000,Ready_to_move,Resale,Apartment
1457.0,3,Unfurnished,1.0,23000000,Ready_to_move,Resale,Apartment
1500.0,3,Semi-Furnished,2.0,16000000,Ready_to_move,Resale,Apartment
1350.0,3,Semi-Furnished,2.0,22000000,Ready_to_move,Resale,Builder_Floor
2750.0,4,Unfurnished,2.0,75000000,Almost_ready,New_Property,Builder_Floor
1000.0,2,Unfurnished,1.0,5000000,Ready_to_move,New_Property,Apartment
1531.0,2,Unfurnished,2.0,25900000,Almost_ready,New_Property,Apartment
3112.0,5,Semi-Furnished,3.0,60000000,Ready_to_move,Resale,Apartment
2000.0,4,Semi-Furnished,3.0,70000000,Ready_to_move,New_Property,Builder_Floor
5500.0,6,Furnished,1.0,160000000,Ready_to_move,Resale,Apartment
2200.0,4,Semi-Furnished,3.0,52500000,Ready_to_move,New_Property,Builder_Floor
1450.0,3,Semi-Furnished,1.0,45000000,Ready_to_move,New_Property,Builder_Floor
2700.0,4,Semi-Furnished,1.0,42500000,Ready_to_move,Resale,Builder_Floor
1500.0,3,Semi-Furnished,1.0,26000000,Ready_to_move,New_Property,Builder_Floor
1240.0,3,Unfurnished,2.0,26500000,Ready_to_move,New_Property,Builder_Floor
1332.0,3,Semi-Furnished,1.0,6540000,Ready_to_move,Resale,Builder_Floor
900.0,2,Unfurnished,1.0,13000000,Ready_to_move,New_Property,Builder_Floor
810.0,3,Semi-Furnished,1.0,4200000,Ready_to_move,New_Property,Apartment
1200.0,3,Semi-Furnished,2.0,25000000,Ready_to_move,Resale,Apartment
1500.0,3,Unfurnished,1.0,12500000,Ready_to_move,Resale,Builder_Floor
900.0,2,Semi-Furnished,1.0,15800000,Ready_to_move,New_Property,Builder_Floor
1650.0,3,Furnished,1.0,18000000,Ready_to_move,Resale,Apartment
750.0,2,Unfurnished,,7350000,Ready_to_move,Resale,Apartment
2900.0,5,Furnished,1.0,51000000,Almost_ready,New_Property,Builder_Floor
2400.0,4,Semi-Furnished,1.0,70000000,Ready_to_move,New_Property,Apartment
2200.0,4,Semi-Furnished,1.0,40000000,Ready_to_move,New_Property,Builder_Floor
1050.0,3,Semi-Furnished,1.0,9000000,Ready_to_move,Resale,Apartment
720.0,2,Unfurnished,1.0,4000000,Ready_to_move,Resale,Builder_Floor
1450.0,3,Semi-Furnished,2.0,23500000,Ready_to_move,Resale,Apartment
1400.0,3,Furnished,1.0,19000000,Ready_to_move,Resale,Apartment
1600.0,3,Semi-Furnished,1.0,15600000,Ready_to_move,Resale,Apartment
800.0,2,Semi-Furnished,1.0,8000000,Ready_to_move,Resale,Builder_Floor
800.0,2,Semi-Furnished,1.0,5000000,Almost_ready,Resale,Builder_Floor
2125.0,3,Semi-Furnished,2.0,36500000,Ready_to_move,Resale,Apartment
900.0,2,Unfurnished,114.0,9000000,Ready_to_move,Resale,Apartment
1980.0,3,Unfurnished,1.0,35000000,Almost_ready,New_Property,Apartment
3000.0,4,Semi-Furnished,4.0,75000000,Ready_to_move,New_Property,Builder_Floor
2572.0,3,Furnished,4.0,35000000,Ready_to_move,Resale,Apartment
950.0,3,Semi-Furnished,1.0,8000000,Ready_to_move,New_Property,Apartment
1300.0,3,Semi-Furnished,2.0,7000000,Ready_to_move,New_Property,Builder_Floor
1000.0,2,Unfurnished,1.0,7500000,Ready_to_move,Resale,Apartment
2592.0,4,Unfurnished,2.0,42500000,Ready_to_move,Resale,Builder_Floor
1300.0,4,Furnished,1.0,11500000,Ready_to_move,New_Property,Builder_Floor
1800.0,3,Semi-Furnished,2.0,27500000,Ready_to_move,New_Property,Builder_Floor
468.0,2,Unfurnished,1.0,4100000,Ready_to_move,Resale,Builder_Floor
400.0,1,Semi-Furnished,1.0,3500000,Ready_to_move,Resale,Apartment
420.0,2,Semi-Furnished,1.0,2600000,Ready_to_move,New_Property,Builder_Floor
1710.0,3,Semi-Furnished,4.0,26000000,Ready_to_move,New_Property,Builder_Floor
1500.0,1,Unfurnished,,13500000,Ready_to_move,Resale,Apartment
6000.0,5,Semi-Furnished,9.0,220000000,Ready_to_move,New_Property,Builder_Floor
1100.0,3,Unfurnished,1.0,6500000,Ready_to_move,New_Property,Apartment
1100.0,2,Semi-Furnished,1.0,22500000,Ready_to_move,New_Property,Builder_Floor
810.0,3,Semi-Furnished,1.0,6000000,Ready_to_move,Resale,Builder_Floor
1240.0,3,Unfurnished,1.0,18000000,Ready_to_move,Resale,Apartment
650.0,2,Semi-Furnished,,2750000,Ready_to_move,Resale,Apartment
700.0,2,Furnished,2.0,16000000,Ready_to_move,New_Property,Builder_Floor
1440.0,3,Semi-Furnished,2.0,22500000,Ready_to_move,New_Property,Builder_Floor
1800.0,3,Semi-Furnished,2.0,29000000,Ready_to_move,Resale,Builder_Floor
1800.0,3,Unfurnished,1.0,24000000,Ready_to_move,Resale,Apartment
600.0,2,Semi-Furnished,1.0,4200000,Ready_to_move,Resale,Builder_Floor
1700.0,3,Furnished,2.0,19000000,Ready_to_move,Resale,Builder_Floor
3405.0,5,Semi-Furnished,3.0,70000000,Ready_to_move,Resale,Apartment
1800.0,3,Semi-Furnished,2.0,19000000,Ready_to_move,Resale,Apartment
1100.0,2,Unfurnished,2.0,15000000,Ready_to_move,Resale,Apartment
800.0,2,Semi-Furnished,1.0,12000000,Ready_to_move,New_Property,Builder_Floor
1143.0,2,Unfurnished,1.0,16000000,Ready_to_move,Resale,Apartment
852.0,2,Unfurnished,1.0,2670000,Ready_to_move,Resale,Apartment
675.0,2,Unfurnished,1.0,3300000,Ready_to_move,Resale,Apartment
1250.0,3,Semi-Furnished,1.0,16000000,Ready_to_move,Resale,Apartment
850.0,3,Semi-Furnished,1.0,4500000,Ready_to_move,Resale,Builder_Floor
1300.0,3,Unfurnished,1.0,18500000,Ready_to_move,Resale,Apartment
1530.0,3,Semi-Furnished,2.0,26500000,Ready_to_move,Resale,Builder_Floor
1300.0,4,Semi-Furnished,1.0,15500000,Ready_to_move,New_Property,Builder_Floor
1710.0,3,Semi-Furnished,1.0,24800000,Ready_to_move,Resale,Builder_Floor
1600.0,3,Semi-Furnished,2.0,20000000,Ready_to_move,Resale,Apartment
1700.0,3,Semi-Furnished,2.0,29000000,Ready_to_move,New_Property,Builder_Floor
1450.0,3,Semi-Furnished,1.0,37500000,Ready_to_move,Resale,Builder_Floor
50.0,1,Unfurnished,39.0,3500000,Ready_to_move,New_Property,Apartment
4500.0,4,Semi-Furnished,2.0,85000000,Ready_to_move,New_Property,Builder_Floor
1300.0,2,Semi-Furnished,1.0,15000000,Ready_to_move,Resale,Apartment
2250.0,4,Unfurnished,2.0,37500000,Ready_to_move,New_Property,Builder_Floor
1000.0,3,Furnished,1.0,12500000,Ready_to_move,Resale,Builder_Floor
1135.0,3,Furnished,2.0,25000000,Almost_ready,Resale,Apartment
1100.0,2,Semi-Furnished,1.0,15000000,Ready_to_move,Resale,Apartment
700.0,2,Unfurnished,1.0,15000000,Ready_to_move,Resale,Builder_Floor
1000.0,2,Semi-Furnished,1.0,11000000,Ready_to_move,Resale,Apartment
2077.4327,1,Unfurnished,1.0,1000000,Ready_to_move,Resale,Builder_Floor
1200.0,3,Semi-Furnished,1.0,15500000,Ready_to_move,Resale,Apartment
700.0,2,Semi-Furnished,1.0,2400000,Almost_ready,New_Property,Apartment
950.0,3,Furnished,1.0,4370000,Ready_to_move,New_Property,Apartment
3901.0,4,Unfurnished,1.0,93000000,Almost_ready,New_Property,Apartment
630.0,2,Semi-Furnished,1.0,5500000,Ready_to_move,New_Property,Builder_Floor
710.0,2,Unfurnished,1.0,2900000,Ready_to_move,Resale,Apartment
1150.0,2,Unfurnished,1.0,16500000,Ready_to_move,Resale,Apartment
700.0,2,Unfurnished,,4600000,Ready_to_move,New_Property,Builder_Floor
1100.0,2,Semi-Furnished,1.0,15000000,Ready_to_move,Resale,Apartment
900.0,2,Furnished,2.0,6900000,Ready_to_move,Resale,Builder_Floor
807.2925,2,Semi-Furnished,1.0,8000000,Ready_to_move,Resale,Builder_Floor
17010.0,3,Semi-Furnished,2.0,25000000,Ready_to_move,Resale,Builder_Floor
1455.0,2,Semi-Furnished,2.0,27500000,Ready_to_move,Resale,Apartment
1300.0,3,Unfurnished,1.0,13500000,Ready_to_move,Resale,Apartment
800.0,3,Unfurnished,1.0,8000000,Ready_to_move,Resale,Builder_Floor
810.0,2,Semi-Furnished,1.0,8500000,Ready_to_move,Resale,Builder_Floor
585.0,2,Semi-Furnished,1.0,4000000,Ready_to_move,Resale,Builder_Floor
1800.0,2,Furnished,1.0,21000000,Ready_to_move,Resale,Builder_Floor
550.0,2,Semi-Furnished,1.0,2000000,Ready_to_move,New_Property,Builder_Floor
900.0,3,Unfurnished,1.0,8000000,Ready_to_move,Resale,Builder_Floor
600.0,3,Semi-Furnished,1.0,8000000,Ready_to_move,Resale,Builder_Floor
2200.0,4,Semi-Furnished,2.0,47500000,Ready_to_move,New_Property,Builder_Floor
2050.0,4,Semi-Furnished,2.0,62500000,Ready_to_move,New_Property,Builder_Floor
990.0,3,Unfurnished,1.0,4000000,Ready_to_move,Resale,Apartment
700.0,2,Semi-Furnished,1.0,2400000,Ready_to_move,New_Property,Builder_Floor
1260.0,3,Semi-Furnished,2.0,16500000,Ready_to_move,Resale,Builder_Floor
1135.0,3,Furnished,2.0,25000000,Almost_ready,Resale,Apartment
950.0,2,Furnished,1.0,15500000,Ready_to_move,Resale,Apartment
1350.0,4,Semi-Furnished,1.0,10000000,Ready_to_move,Resale,Builder_Floor
1100.0,3,Furnished,1.0,6000000,Ready_to_move,Resale,Apartment
750.0,2,Unfurnished,1.0,4500000,Ready_to_move,Resale,Builder_Floor
1600.0,3,Semi-Furnished,1.0,22500000,Ready_to_move,Resale,Builder_Floor
900.0,3,Semi-Furnished,1.0,9500000,Ready_to_move,Resale,Builder_Floor
1650.0,3,Semi-Furnished,1.0,35000000,Ready_to_move,New_Property,Builder_Floor
720.0,2,Semi-Furnished,1.0,7000000,Ready_to_move,Resale,Builder_Floor
987.0,2,Semi-Furnished,1.0,17000000,Ready_to_move,New_Property,Apartment
2400.0,4,Semi-Furnished,1.0,70000000,Ready_to_move,New_Property,Apartment
1600.0,4,Semi-Furnished,2.0,15800000,Ready_to_move,Resale,Apartment
500.0,1,Semi-Furnished,1.0,3400000,Ready_to_move,Resale,Apartment
3600.0,4,Semi-Furnished,2.0,65000000,Almost_ready,New_Property,Builder_Floor
2025.0,4,Furnished,2.0,30500000,Ready_to_move,Resale,Builder_Floor
750.0,2,Unfurnished,,13000000,Almost_ready,New_Property,Builder_Floor
1753.0,3,Unfurnished,1.0,19000000,Ready_to_move,Resale,Apartment
990.0,3,Unfurnished,1.0,4000000,Ready_to_move,Resale,Apartment
700.0,2,Semi-Furnished,1.0,2500000,Ready_to_move,Resale,Apartment
675.0,2,Unfurnished,,2200000,Ready_to_move,Resale,Builder_Floor
2250.0,4,Semi-Furnished,2.0,55000000,Ready_to_move,New_Property,Builder_Floor
675.0,4,Furnished,2.0,18500000,Ready_to_move,Resale,Builder_Floor
1800.0,4,Furnished,2.0,5500000,Ready_to_move,New_Property,Builder_Floor
2282.0,4,Unfurnished,2.0,38000000,Ready_to_move,Resale,Apartment
2200.0,4,Semi-Furnished,2.0,50000000,Ready_to_move,Resale,Builder_Floor
1150.0,3,Semi-Furnished,1.0,25500000,Ready_to_move,New_Property,Builder_Floor
1100.0,3,Furnished,1.0,7000000,Ready_to_move,New_Property,Builder_Floor
713.0,2,Semi-Furnished,1.0,6000000,Ready_to_move,New_Property,Builder_Floor
1500.0,3,Semi-Furnished,2.0,21000000,Ready_to_move,Resale,Apartment
900.0,2,Semi-Furnished,2.0,13000000,Ready_to_move,New_Property,Builder_Floor
1350.0,4,Semi-Furnished,1.0,11300000,Ready_to_move,New_Property,Builder_Floor
1800.0,3,Unfurnished,1.0,24500000,Ready_to_move,Resale,Apartment
437.0,1,Furnished,1.0,3500000,Ready_to_move,New_Property,Apartment
1500.0,3,Semi-Furnished,1.0,31500000,Ready_to_move,Resale,Builder_Floor
1800.0,4,Semi-Furnished,1.0,12500000,Ready_to_move,Resale,Builder_Floor
1000.0,3,Unfurnished,1.0,4620000,Ready_to_move,New_Property,Apartment
1500.0,1,Unfurnished,,13500000,Ready_to_move,Resale,Apartment
4900.0,1,Unfurnished,1.0,1000000,Ready_to_move,New_Property,Apartment
2430.0,4,Semi-Furnished,2.0,42500000,Ready_to_move,Resale,Apartment
2316.0,3,Furnished,1.0,100000000,Ready_to_move,Resale,Builder_Floor
2160.0,4,Unfurnished,1.0,21000000,Ready_to_move,Resale,Apartment
550.0,2,Semi-Furnished,1.0,1900000,Ready_to_move,New_Property,Builder_Floor
1500.0,2,Furnished,2.0,24700000,Almost_ready,New_Property,Apartment
900.0,3,Semi-Furnished,2.0,13500000,Ready_to_move,Resale,Apartment
2610.0,4,Semi-Furnished,2.0,42500000,Ready_to_move,Resale,Builder_Floor
270.0,1,Unfurnished,2.0,1700000,Ready_to_move,Resale,Builder_Floor
2050.0,3,Semi-Furnished,2.0,71000000,Ready_to_move,New_Property,Builder_Floor
2500.0,4,Semi-Furnished,2.0,75000000,Ready_to_move,Resale,Builder_Floor
378.0,1,Unfurnished,2.0,1500000,Ready_to_move,Resale,Apartment
750.0,3,Semi-Furnished,1.0,2400000,Ready_to_move,Resale,Builder_Floor
1620.0,3,Furnished,1.0,24500000,Ready_to_move,New_Property,Builder_Floor
1100.0,3,Semi-Furnished,1.0,6000000,Ready_to_move,Resale,Builder_Floor
1650.0,3,Semi-Furnished,1.0,15500000,Ready_to_move,Resale,Apartment
1650.0,4,Furnished,1.0,14000000,Almost_ready,New_Property,Apartment
1500.0,3,Semi-Furnished,2.0,30000000,Ready_to_move,Resale,Builder_Floor
1200.0,3,Semi-Furnished,1.0,22500000,Ready_to_move,New_Property,Builder_Floor
445.0,2,Unfurnished,1.0,2000000,Ready_to_move,Resale,Builder_Floor
3050.0,5,Semi-Furnished,3.0,65000000,Ready_to_move,New_Property,Apartment
1300.0,3,Semi-Furnished,1.0,10000000,Ready_to_move,Resale,Builder_Floor
1600.0,3,Semi-Furnished,1.0,25000000,Ready_to_move,Resale,Apartment
3250.0,4,Semi-Furnished,1.0,55000000,Ready_to_move,Resale,Builder_Floor
1200.0,2,Semi-Furnished,1.0,10000000,Ready_to_move,Resale,Apartment
1550.0,3,Unfurnished,3.0,19500000,Ready_to_move,Resale,Apartment
1300.0,3,Semi-Furnished,3.0,22500000,Ready_to_move,Resale,Builder_Floor
1150.0,3,Semi-Furnished,1.0,21000000,Ready_to_move,Resale,Builder_Floor
750.0,1,Furnished,2.0,4600000,Ready_to_move,Resale,Apartment
950.0,2,Semi-Furnished,2.0,8000000,Ready_to_move,Resale,Builder_Floor
750.0,2,Unfurnished,1.0,3500000,Ready_to_move,New_Property,Builder_Floor
1450.0,3,Semi-Furnished,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
1206.0,3,Semi-Furnished,1.0,20000000,Ready_to_move,Resale,Builder_Floor
950.0,3,Furnished,1.0,4370000,Ready_to_move,New_Property,Apartment
630.0,3,Furnished,1.0,22500000,Ready_to_move,Resale,Builder_Floor
550.0,2,Semi-Furnished,1.0,3500000,Ready_to_move,New_Property,Apartment
1200.0,3,Semi-Furnished,3.0,17000000,Ready_to_move,Resale,Builder_Floor
1035.0,3,Semi-Furnished,1.0,4500000,Ready_to_move,New_Property,Builder_Floor
1800.0,4,Semi-Furnished,1.0,12500000,Ready_to_move,Resale,Builder_Floor
801.0,3,Semi-Furnished,1.0,6000000,Ready_to_move,New_Property,Builder_Floor
2250.0,4,Unfurnished,3.0,100000000,Ready_to_move,New_Property,Builder_Floor
1350.0,4,Semi-Furnished,1.0,10500000,Ready_to_move,Resale,Apartment
1350.0,3,Semi-Furnished,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
1000.0,2,Semi-Furnished,1.0,6500000,Ready_to_move,Resale,Builder_Floor
2100.0,3,Furnished,2.0,34300000,Ready_to_move,Resale,Apartment
900.0,3,Semi-Furnished,1.0,24000000,Ready_to_move,Resale,Apartment
675.0,2,Semi-Furnished,1.0,10000000,Ready_to_move,Resale,Builder_Floor
720.0,2,Semi-Furnished,1.0,4700000,Ready_to_move,New_Property,Apartment
1400.0,2,Semi-Furnished,2.0,14000000,Ready_to_move,Resale,Apartment
400.0,2,Furnished,1.0,2500000,Ready_to_move,New_Property,Apartment
1000.0,2,Furnished,1.0,20000000,Ready_to_move,Resale,Apartment
675.0,2,Furnished,2.0,2400000,Ready_to_move,Resale,Builder_Floor
650.0,1,Semi-Furnished,1.0,7400000,Ready_to_move,Resale,Apartment
3510.0,4,Semi-Furnished,2.0,45000000,Ready_to_move,Resale,Builder_Floor
